Mods count: 141
 
                                   jar name                                     |    notes     |               mod id                |                    mod name                     |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
createdeco-2.1.2-1.21.1-neo.jar                                                 |              | createdeco                          | Create Deco                                     | 2.1.2                          | createdeco-common.mixins.json, createdeco.mixins.json                                                                                                                                                                                                                                                                                                               | cff4f94238d15db929bf0db48f006da438d345b5 | 4236755353     
createenchantablemachinery-3.6.0+mc1.21.1-neoforge.jar                          |              | createenchantablemachinery          | Create: Enchantable Machinery                   | 3.6.0                          | createenchantablemachinery.mixins.json                                                                                                                                                                                                                                                                                                                              | ed9a5cf654235f54a3c5aced27ac654d5258e393 | 3508859751     
CreateEntityControl-0.3.8.4-6.0.x-neoforge-1.21.1.jar                           |              | createentitycontrol                 | Create:Entity Control                           | 0.3.8.4-6.0.x                  | createentitycontrol.mixins.json                                                                                                                                                                                                                                                                                                                                     | ab92313b7798c6078c3b1f11bd441758b34f3de0 | 2466455952     
createliquidfuel-2.1.1-1.21.1.jar                                               |              | createliquidfuel                    | Create Liquid Fuel                              | 2.1.1-1.21.1                   | createliquidfuel.mixins.json                                                                                                                                                                                                                                                                                                                                        | a29f65eb4bbded2ca977a1453f90b6570e812b85 | 543281262      
createmetalogistics-1.21.1-0.4.6.jar                                            |              | createmetalogistics                 | Create: Meta Logistics                          | 0.4.6                          | createmetalogistics.mixins.json                                                                                                                                                                                                                                                                                                                                     | 470189d5362fdde16e56254b1b48d2dee9ab441f | 1614076555     
    /META-INF/jarjar/create_factory_abstractions-1.21.1-1.4.8.jar               |              | create_factory_abstractions         | Create Factory Abstractions                     | 1.4.8                          |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
CreateNumismatics-1.0.19+neoforge-mc1.21.1.jar                                  |              | numismatics                         | Create: Numismatics                             | 1.0.19+neoforge-mc1.21.1       | numismatics.mixins.json, numismatics-common.mixins.json                                                                                                                                                                                                                                                                                                             | cfc4b7dd2b715658b513671df871a394ee67cd01 | 1736104934     
createunlimitedlogistics-1.2.1.jar                                              |              | createunlimitedlogistics            | Create: Unlimited Logistics                     | 1.2.1                          | createunlimitedlogistics.mixins.json                                                                                                                                                                                                                                                                                                                                | 92402aa80d505bc4b5aad49fcc1770ea985c36b4 | 75671814       
cupboard-1.21-2.9.jar                                                           |              | cupboard                            | Cupboard mod                                    | 2.9                            | cupboard.mixins.json                                                                                                                                                                                                                                                                                                                                                | 8f6eb497f60fb6a2cf2b276113d33e61b9a5c2a5 | 1446306948     
curios-neoforge-9.5.1+1.21.1.jar                                                |              | curios                              | Curios API                                      | 9.5.1+1.21.1                   | curios.neoforge.mixins.json, curios.mixins.json                                                                                                                                                                                                                                                                                                                     | 418fcd42e3a7844c9bdc71c9b6401fdb3894e0c4 | 933317947      
